# Depth/cm Cu/ppm Cr/ppm Fe/ppm Co/ppm Pb/ppm U/ppm
8.250000000000000000e+01 1.040145510906901904e+01 9.634925997658365304e+01 7.081494347541404750e+03 2.863712814109626592e+01 5.828323618494445135e+00 7.809018464603277643e+00
8.300000000000000000e+01 2.637462269470037590e+00 9.858282473134309498e+01 4.736860455713718693e+03 3.175132614153389454e+01 3.551775409572972553e+00 9.856662780733580931e+00
8.350000000000000000e+01 4.101208747792370879e+00 1.316604039921254525e+02 5.898801468450079483e+03 3.517657565768717376e+01 1.254035029693938164e+01 9.391045842907010055e+00
8.400000000000000000e+01 1.122357458876109071e+01 7.839847510331881608e+01 1.421401038998954937e+04 9.358787575086806498e+01 1.723413099739690679e+01 1.196608878229009676e+01
8.450000000000000000e+01 6.436548679545847307e+00 1.158356385136311246e+02 3.968745707769013279e+03 5.420620491346954140e+01 5.142919543779020941e+00 7.140133726471800557e+00
8.500000000000000000e+01 3.638345042429135923e+00 1.153870125695165001e+02 5.566267601482473765e+03 9.886187116914516793e+00 4.288367857867330102e+00 1.291713937632428433e+01
8.550000000000000000e+01 6.929614594364577940e+00 9.034052766460247597e+01 1.021191843506847545e+04 3.751448539884586353e+01 7.721686197925568429e+00 1.841376950948644620e+01
8.600000000000000000e+01 1.552335671264608408e+01 6.048807415818856015e+01 5.758793643586119288e+03 3.570344757301090510e+01 4.674029754114312318e+00 8.600427270669932511e+00
8.650000000000000000e+01 4.996414520839696394e+00 7.601127953540724036e+01 2.657783707378779582e+03 5.011722447039925754e+00 3.128385976765513554e+00 4.223014828999298587e+00
8.700000000000000000e+01 5.736452259521557018e+00 9.748489453857533249e+01 4.125301198158350417e+03 6.356496511634254887e+00 4.882615541280814320e+00 1.046310198112216305e+01
8.750000000000000000e+01 5.407797687048139679e+00 7.636562900359501782e+01 7.166060474529964267e+03 2.105475799070747556e+01 4.266481865332550250e+00 5.614513539507186124e+00
8.800000000000000000e+01 6.263031219213896605e+00 1.128260367217318105e+02 7.454336724007311204e+03 3.477285506680849636e+01 8.520037802971272001e+00 7.868433816253650015e+00
8.850000000000000000e+01 4.365163595462424162e+00 8.194603260295731673e+01 4.449446122617973742e+03 2.668627311161946736e+01 5.123901326147043633e+00 1.481121777806429307e+01
8.900000000000000000e+01 4.909854234167997156e+00 1.066093620181975012e+02 7.510786622926062591e+03 1.421626022775264708e+01 2.394739454076359131e+00 2.034416120688829110e+01
8.950000000000000000e+01 1.124443548742173427e+01 9.660786718456610345e+01 1.404591347604223847e+04 3.205191269104154195e+00 4.613333649953435867e+00 9.559118953808342312e+00
9.000000000000000000e+01 1.017060690288393054e+01 1.465264903028960646e+02 3.404072611905492977e+03 1.245164337556789746e+01 4.209162528120599767e+00 8.864681837917704144e+00
9.050000000000000000e+01 3.883201879962846714e+00 6.187291158708669059e+01 9.994522326027759846e+03 1.152672267341823442e+01 1.438243648098614713e+01 9.548590451786049371e+00
9.100000000000000000e+01 2.420731321838741845e+00 8.666006874575195695e+01 8.006869618517505842e+03 2.002167337387285073e+01 5.502473499935395251e-01 1.790199250499474459e+01
9.150000000000000000e+01 3.125235415671864914e+00 7.009373151595258378e+01 2.085682612140818037e+03 4.645199257229928236e+01 1.138008045621549513e+01 1.249445067138066889e+01
9.200000000000000000e+01 8.955360818442139603e+00 1.537545837694848672e+02 6.296192076592153171e+03 9.501721937901574933e+00 6.766176975952719275e+00 9.278037364119825270e+00
9.250000000000000000e+01 7.587136083223403382e+00 5.326267277521352383e+01 5.788543365356994400e+03 3.666665974069519329e+00 7.982764438216014113e+00 9.272663484878805207e+00
9.300000000000000000e+01 6.838457436041583293e+00 6.000525135405126065e+01 4.620883865798783518e+03 1.186471019042775765e+01 6.731086192235802734e+00 7.724009814735443236e+00
9.350000000000000000e+01 5.128007038637196757e+00 1.079474554770478107e+02 1.051525016390696874e+04 8.120608970592744669e+00 1.814697308603145842e+01 1.055918081774434114e+01
9.400000000000000000e+01 1.416915005910968262e+01 1.190801255941146479e+02 6.168742449142550868e+03 8.612921163937889091e+00 2.848269933955216437e+00 8.147971769920987484e+00
9.450000000000000000e+01 8.963549434354572298e+00 9.424387169147290422e+01 4.742273750928608933e+03 8.493946490453626552e+01 1.335095323868550343e+00 9.954778231637542163e+00
9.500000000000000000e+01 6.181492054860075136e+00 9.515881435024724055e+01 1.299569951539518297e+04 3.746509531187103192e+01 5.039678536414037957e+00 1.458895941289701881e+01
9.550000000000000000e+01 7.455456652534033779e+00 1.084352814767778028e+02 6.214882105874107765e+03 1.037671277602679254e+01 3.074162298752512790e+00 1.469718068162088720e+01
9.600000000000000000e+01 6.712008675994909801e+00 1.155268143719074914e+02 8.101512739913406222e+03 4.275453305595392095e+01 7.457843453400557543e+00 1.591575651973271732e+01
9.650000000000000000e+01 1.672154749435904586e+00 9.074059205696718777e+01 4.828059028505322203e+03 3.834878935775329722e+01 4.464393029920964651e+00 1.131322887613470662e+01
9.700000000000000000e+01 1.801305847546382566e+01 1.747429557806059677e+02 3.627675300238751333e+03 4.245243560434475150e+00 1.864815500418713157e+01 1.123823650784259165e+01
9.750000000000000000e+01 8.344339082343738667e+00 1.117150282873166844e+02 3.208464890821045174e+03 5.556173069592612990e+01 5.321819190613513051e+00 1.587647963160649844e+01
9.800000000000000000e+01 9.763239037274944465e+00 1.394434873540364208e+02 2.247028738536310811e+03 1.000513720756137559e+01 1.071574048991525174e+01 5.837277688367222162e+00
9.850000000000000000e+01 5.471408469753753501e+00 1.280648885796281604e+02 5.722671795971766187e+03 3.356139113973943466e+01 1.333224145250562387e+01 1.504470771122911543e+01
9.900000000000000000e+01 8.670940099724065320e+00 9.583047016259402540e+01 7.108334011982194170e+03 4.004257933419184923e+01 9.996480778774454734e+00 7.773165841808785892e+00
9.950000000000000000e+01 6.724740328112909893e+00 1.118759821665432668e+02 1.030045859423535330e+04 6.407624008416050287e+01 1.439207902511014492e+00 7.932226973486264932e+00
1.000000000000000000e+02 3.167924313250567003e+00 6.830605875542151750e+01 6.362085827711513957e+03 2.677442215072623100e+01 5.897712220654470983e+00 6.439381860392885848e+00
